dv,heat,year,region,country,rain,region_id
13.57,0.0,2016,1,ARM,0.343300743132489,ARM_1
3.49,0.0,2016,2,ARM,0.376713992937378,ARM_2
0.69,0.0,2016,3,ARM,0.368674292706673,ARM_3
1.1,0.0,2016,4,ARM,0.398514765774687,ARM_4
4.79,0.0,2016,5,ARM,0.342746158361001,ARM_5
1.12,0.0,2016,6,ARM,0.348303313931719,ARM_6
2.37,0.0,2016,7,ARM,0.296256379715469,ARM_7
0.0,0.0833333333333333,2016,8,ARM,0.342912450932337,ARM_8
1.34,0.0,2016,9,ARM,0.399476575312296,ARM_9
0.71,0.0,2016,10,ARM,0.404976408351155,ARM_10
1.98,0.0,2016,11,ARM,0.45134819916778,ARM_11
17.21,0.0,2010,1,BFA,0.221987840803808,BFA_1
13.32,0.0833333333333333,2010,2,BFA,0.0066341186187976,BFA_2
12.71,0.0,2010,3,BFA,-0.0593699581912883,BFA_3
3.77,0.0,2010,4,BFA,-0.0604343618545084,BFA_4
2.0,0.0,2010,5,BFA,0.0047596474307613,BFA_5
7.7,0.0,2010,6,BFA,-0.0837083118991578,BFA_6
9.56,0.0,2010,7,BFA,-0.142262143718594,BFA_7
7.41,0.0,2010,8,BFA,-0.0579622262009931,BFA_8
10.22,0.0833333333333333,2010,9,BFA,0.144812283310557,BFA_9
3.57,0.0,2010,10,BFA,0.265947493661202,BFA_10
7.68,0.0,2010,11,BFA,-0.0022777679895695,BFA_11
5.93,0.0,2010,12,BFA,-0.0547851964092426,BFA_12
19.3,0.0833333333333333,2010,13,BFA,-0.0804579659678739,BFA_13
12.36,0.0833333333333333,2012,1,CIV,-0.163620448210769,CIV_1
16.73,0.0833333333333333,2012,2,CIV,-0.203168562981059,CIV_2
9.1,0.0833333333333333,2012,3,CIV,-0.345174028727893,CIV_3
10.02,0.0,2012,4,CIV,-0.238107967903984,CIV_4
23.06,0.0833333333333333,2012,6,CIV,0.041828249060825,CIV_6
17.89,0.166666666666667,2012,7,CIV,-0.0352523264171894,CIV_7
32.49,0.0,2012,9,CIV,-0.242311993843173,CIV_9
26.45,0.0,2004,1,CMR,-0.0988326293767794,CMR_1
25.86,0.0,2004,2,CMR,-0.243127686367903,CMR_2
33.6,0.0,2004,3,CMR,0.0169629545080288,CMR_3
21.02,0.0,2004,4,CMR,-0.150750490135627,CMR_4
28.54,0.0,2004,5,CMR,-0.130367051796915,CMR_5
34.56,0.0,2004,6,CMR,-0.500566697442122,CMR_6
26.09,0.0,2004,7,CMR,-0.178170312631201,CMR_7
32.75,0.0,2004,8,CMR,-0.264992981152699,CMR_8
27.85,0.0,2011,1,CMR,-0.173236455827094,CMR_1
26.68,0.0833333333333333,2011,2,CMR,-0.125935523252727,CMR_2
36.82,0.0,2011,3,CMR,-0.180691300343899,CMR_3
16.15,0.0833333333333333,2011,4,CMR,-0.0857648542196261,CMR_4
26.48,0.0833333333333333,2011,5,CMR,-0.116653651294579,CMR_5
33.49,0.0833333333333333,2011,6,CMR,-0.0473208061230853,CMR_6
