time,threshold,height2m,share_earth_in_heatwave,scenario,year
2015-12-31,35.0,2.0,0.0546186449759945,2.1,2015
2016-12-31,35.0,2.0,0.05455455889917696,2.1,2016
2017-12-31,35.0,2.0,0.05459276406035665,2.1,2017
2018-12-31,35.0,2.0,0.054922785922496574,2.1,2018
2019-12-31,35.0,2.0,0.05743039480452675,2.1,2019
2020-12-31,35.0,2.0,0.05699620627572017,2.1,2020
2021-12-31,35.0,2.0,0.057080868484224966,2.1,2021
2022-12-31,35.0,2.0,0.056903399348422506,2.1,2022
2023-12-31,35.0,2.0,0.05781828703703704,2.1,2023
2024-12-31,35.0,2.0,0.05928128215020576,2.1,2024
2025-12-31,35.0,2.0,0.06032568158436214,2.1,2025
2026-12-31,35.0,2.0,0.059530017575445814,2.1,2026
2027-12-31,35.0,2.0,0.059167845507544586,2.1,2027
2028-12-31,35.0,2.0,0.05991710605281208,2.1,2028
2029-12-31,35.0,2.0,0.06024241255144034,2.1,2029
2030-12-31,35.0,2.0,0.06093283822016462,2.1,2030
2031-12-31,35.0,2.0,0.061188003686556934,2.1,2031
2032-12-31,35.0,2.0,0.06062773276748971,2.1,2032
2033-12-31,35.0,2.0,0.06135218407064471,2.1,2033
2034-12-31,35.0,2.0,0.06144429441015089,2.1,2034
2035-12-31,35.0,2.0,0.061956286436899856,2.1,2035
2036-12-31,35.0,2.0,0.062010620284636477,2.1,2036
2037-12-31,35.0,2.0,0.06278142146776407,2.1,2037
2038-12-31,35.0,2.0,0.062267232510288074,2.1,2038
2039-12-31,35.0,2.0,0.0633414780521262,2.1,2039
2040-12-31,35.0,2.0,0.06255631644375857,2.1,2040
2041-12-31,35.0,2.0,0.06235875342935529,2.1,2041
2042-12-31,35.0,2.0,0.06335873199588478,2.1,2042
2043-12-31,35.0,2.0,0.0644002914951989,2.1,2043
2044-12-31,35.0,2.0,0.06413505229766804,2.1,2044
2045-12-31,35.0,2.0,0.06364074288408779,2.1,2045
2046-12-31,35.0,2.0,0.06430014360425242,2.1,2046
2047-12-31,35.0,2.0,0.06425374014060356,2.1,2047
2048-12-31,35.0,2.0,0.0644400505829904,2.1,2048
2049-12-31,35.0,2.0,0.06512109910836762,2.1,2049
2050-12-31,35.0,2.0,0.06516289437585734,2.1,2050
2051-12-31,35.0,2.0,0.06538499871399177,2.1,2051
2052-12-31,35.0,2.0,0.06465851123113855,2.1,2052
2053-12-31,35.0,2.0,0.06437248156721535,2.1,2053
2054-12-31,35.0,2.0,0.06394225823045267,2.1,2054
2055-12-31,35.0,2.0,0.06437612525720164,2.1,2055
2056-12-31,35.0,2.0,0.06606524348422496,2.1,2056
2057-12-31,35.0,2.0,0.06559847608024691,2.1,2057
2058-12-31,35.0,2.0,0.06520929783950617,2.1,2058
2059-12-31,35.0,2.0,0.06582111625514403,2.1,2059
2060-12-31,35.0,2.0,0.06643781078532236,2.1,2060
2061-12-31,35.0,2.0,0.0648993162722908,2.1,2061
2062-12-31,35.0,2.0,0.06568672839506172,2.1,2062
2063-12-31,35.0,2.0,0.06571984310699588,2.1,2063
2064-12-31,35.0,2.0,0.06630663794581619,2.1,2064
2065-12-31,35.0,2.0,0.06468476723251028,2.1,2065
2066-12-31,35.0,2.0,0.06567949459876544,2.1,2066
2067-12-31,35.0,2.0,0.06683883101851852,2.1,2067
2068-12-31,35.0,2.0,0.06728432570301783,2.1,2068
2069-12-31,35.0,2.0,0.06626591435185185,2.1,2069
2070-12-31,35.0,2.0,0.0658862204218107,2.1,2070
2071-12-31,35.0,2.0,0.06559472522290809,2.1,2071
2072-12-31,35.0,2.0,0.06554167738340193,2.1,2072
2073-12-31,35.0,2.0,0.06664689429012345,2.1,2073
2074-12-31,35.0,2.0,0.06706109610768177,2.1,2074
2075-12-31,35.0,2.0,0.06555400162894374,2.1,2075
2076-12-31,35.0,2.0,0.06602585948216734,2.1,2076
2077-12-31,35.0,2.0,0.06641589506172839,2.1,2077
2078-12-31,35.0,2.0,0.06621613511659809,2.1,2078
2079-12-31,35.0,2.0,0.0661795910493827,2.1,2079
2080-12-31,35.0,2.0,0.0656674918552812,2.1,2080
2081-12-31,35.0,2.0,0.06611266503772291,2.1,2081
2082-12-31,35.0,2.0,0.06662063828875171,2.1,2082
2083-12-31,35.0,2.0,0.06588375557270233,2.1,2083
2084-12-31,35.0,2.0,0.06634891546639232,2.1,2084
2085-12-31,35.0,2.0,0.06603491512345679,2.1,2085
2086-12-31,35.0,2.0,0.06664185742455418,2.1,2086
2087-12-31,35.0,2.0,0.06533977409122084,2.1,2087
2088-12-31,35.0,2.0,0.06544833461934156,2.1,2088
2089-12-31,35.0,2.0,0.06467051397462277,2.1,2089
2090-12-31,35.0,2.0,0.06518877529149521,2.1,2090
2091-12-31,35.0,2.0,0.06552983539094649,2.1,2091
2092-12-31,35.0,2.0,0.06547619813100138,2.1,2092
2093-12-31,35.0,2.0,0.06475281850137175,2.1,2093
2094-12-31,35.0,2.0,0.06491196201989026,2.1,2094
2095-12-31,35.0,2.0,0.06491185485253771,2.1,2095
2096-12-31,35.0,2.0,0.06473861882716049,2.1,2096
2097-12-31,35.0,2.0,0.06466279792524005,2.1,2097
2098-12-31,35.0,2.0,0.0644231717249657,2.1,2098
2099-12-31,35.0,2.0,0.06472522290809328,2.1,2099
2100-12-31,35.0,2.0,0.06212052040466392,2.1,2100
