dv,heat,year,region,country,rain,DM_urban_p,ED_educ_years_mean,ED_litt_p,EI_internet_week_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,DP_decide_money_p,DP_earn_more_equal_p,WK_working_paid_p,DP_owns_house_p,DP_owns_land_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_visits_p,DP_decide_contraception_p,DP_decide_no_contraception_p,DV_phys_partner_12m_p,DV_phys_12m_p,WL_wealth_median,DM_age_diff_mean,DM_age_diff_10plus_p,EI_women_elec_p,region_id
13.57,0.0,2016,1,ARM,0.343300743132489,20.15,11.14,100.0,69.62,15.55,4.21,86.94,23.97,36.32,66.16,75.94,52.75,35.28,28.45,,25.25,20.91,21.87,13.57,74.99,5.16,15.04,100.0,ARM_1
3.49,0.0,2016,2,ARM,0.376713992937378,26.93,11.16,100.0,70.61,15.86,15.7,97.16,13.0,31.37,60.39,69.42,36.35,23.24,5.03,,13.24,6.87,4.8,3.49,79.05,5.0,16.44,100.0,ARM_2
0.69,0.0,2016,3,ARM,0.368674292706673,35.06,10.84,100.0,63.74,17.99,7.19,97.76,41.33,21.16,42.26,22.96,9.67,22.38,4.33,,6.99,15.27,0.91,0.69,72.72,4.67,4.16,99.88,ARM_3
1.1,0.0,2016,4,ARM,0.398514765774687,35.18,11.14,100.0,63.97,3.62,0.25,65.69,19.97,21.02,34.45,80.78,61.81,11.2,6.47,,12.9,24.66,1.71,1.1,74.97,5.52,4.0,100.0,ARM_4
4.79,0.0,2016,5,ARM,0.342746158361001,56.98,11.68,100.0,73.73,8.71,2.53,87.26,16.53,42.79,96.7,55.49,0.56,34.64,23.32,,9.12,5.54,8.14,4.79,74.97,4.64,15.75,100.0,ARM_5
1.12,0.0,2016,6,ARM,0.348303313931719,49.72,11.77,100.0,72.58,26.41,14.03,97.91,29.12,21.21,71.43,49.56,12.83,22.04,4.42,,16.94,36.68,1.47,1.12,82.57,4.46,1.95,100.0,ARM_6
2.37,0.0,2016,7,ARM,0.296256379715469,49.47,11.7,100.0,76.9,18.36,11.36,96.34,36.74,41.9,94.59,19.78,3.71,11.94,0.58,,11.23,23.61,3.13,2.37,78.65,4.58,4.3,99.78,ARM_7
0.0,0.0833333333333333,2016,8,ARM,0.342912450932337,59.09,11.69,100.0,89.13,29.37,5.98,97.75,17.74,22.85,76.38,55.72,15.8,14.01,27.49,,0.0,7.11,0.0,0.0,79.05,5.17,17.5,100.0,ARM_8
1.34,0.0,2016,9,ARM,0.399476575312296,35.09,11.48,100.0,78.99,36.98,2.11,98.01,23.57,40.34,75.97,51.36,14.96,24.47,19.84,,11.97,12.18,1.8,1.34,82.57,5.01,9.22,99.77,ARM_9
0.71,0.0,2016,10,ARM,0.404976408351155,33.91,11.62,100.0,75.16,56.08,2.29,95.43,22.88,42.88,68.69,37.62,17.12,21.33,5.74,,13.23,23.52,0.9,0.71,79.85,4.44,4.38,100.0,ARM_10
1.98,0.0,2016,11,ARM,0.45134819916778,100.0,12.9,100.0,89.16,41.27,30.39,96.9,32.81,35.95,97.53,44.25,1.54,44.44,24.02,,23.1,19.38,3.03,1.98,83.93,4.13,8.93,100.0,ARM_11
17.21,0.0,2010,1,BFA,0.221987840803808,9.04,1.08,14.83,,2.54,27.36,17.94,89.95,2.31,29.1,56.74,55.46,4.94,3.13,,,,15.95,17.21,17.11,9.22,32.55,4.3,BFA_1
13.32,0.0833333333333333,2010,2,BFA,0.0066341186187976,29.7,1.57,20.96,,4.4,51.3,15.96,91.16,2.91,33.28,39.78,34.3,2.73,1.89,,,,14.16,13.32,23.62,11.16,42.99,10.89,BFA_2
12.71,0.0,2010,3,BFA,-0.0593699581912883,87.64,4.94,52.84,,18.27,57.33,58.0,84.16,13.18,74.56,21.42,11.42,17.06,9.02,,,,11.75,12.71,42.46,9.12,32.64,55.61,BFA_3
3.77,0.0,2010,4,BFA,-0.0604343618545084,18.2,1.18,15.97,,3.35,39.3,9.92,72.62,12.92,27.93,10.71,14.12,10.5,5.46,,,,2.59,3.77,22.84,11.22,44.88,6.88,BFA_4
2.0,0.0,2010,5,BFA,0.0047596474307613,7.91,0.76,13.04,,1.6,43.78,3.59,88.46,6.19,19.54,31.56,30.32,3.4,1.32,,,,1.82,2.0,19.46,12.86,49.57,3.28,BFA_5
7.7,0.0,2010,6,BFA,-0.0837083118991578,15.88,1.51,20.46,,2.95,46.24,11.8,91.08,12.73,27.95,8.48,11.4,6.25,2.82,,,,7.22,7.7,19.14,13.2,51.26,7.08,BFA_6
9.56,0.0,2010,7,BFA,-0.142262143718594,11.44,1.47,20.57,,3.7,47.85,6.71,82.62,11.82,29.08,34.82,22.0,14.6,1.48,,,,9.65,9.56,21.9,11.95,35.56,3.55,BFA_7
7.41,0.0,2010,8,BFA,-0.0579622262009931,7.45,0.65,12.26,,0.98,51.68,5.94,92.04,3.75,24.8,38.85,72.82,8.09,9.11,,,,5.57,7.41,16.56,11.16,48.25,3.76,BFA_8
10.22,0.0833333333333333,2010,9,BFA,0.144812283310557,43.58,2.3,30.37,,5.07,47.24,39.86,95.93,5.25,39.24,38.77,33.54,3.09,1.33,,,,10.94,10.22,25.11,9.82,43.7,30.89,BFA_9
3.57,0.0,2010,10,BFA,0.265947493661202,13.31,1.08,16.04,,2.1,45.42,10.56,76.67,3.17,15.19,23.61,26.93,5.73,1.38,,,,3.84,3.57,20.4,12.88,47.39,9.5,BFA_10
7.68,0.0,2010,11,BFA,-0.0022777679895695,9.07,1.11,16.31,,2.33,50.45,5.39,80.81,6.59,25.55,52.47,46.63,9.65,1.64,,,,8.13,7.68,23.46,12.7,46.03,3.46,BFA_11
5.93,0.0,2010,12,BFA,-0.0547851964092426,5.66,0.42,6.13,,0.33,39.34,3.93,88.62,1.02,54.36,12.73,19.29,1.83,0.85,,,,5.23,5.93,9.97,10.45,45.3,2.48,BFA_12
19.3,0.0833333333333333,2010,13,BFA,-0.0804579659678739,14.09,1.0,13.97,,1.02,34.51,8.42,89.28,9.87,59.31,51.52,44.34,19.1,1.84,,,,19.36,19.3,14.05,9.55,27.26,7.7,BFA_13
12.36,0.0833333333333333,2012,1,CIV,-0.163620448210769,39.54,3.17,38.21,,8.22,30.83,49.17,75.47,9.13,32.97,39.51,35.84,7.79,8.29,,,,15.47,12.36,25.9,8.43,61.23,51.14,CIV_1
16.73,0.0833333333333333,2012,2,CIV,-0.203168562981059,53.31,2.84,33.74,,5.87,16.27,49.99,94.64,2.52,75.26,18.22,15.58,9.58,7.69,,,,17.1,16.73,35.7,8.91,48.58,59.2,CIV_2
9.1,0.0833333333333333,2012,3,CIV,-0.345174028727893,15.18,2.42,28.25,,5.45,28.09,32.78,75.37,11.05,44.22,35.12,41.28,10.79,11.01,,,,9.96,9.1,20.85,8.58,45.88,42.96,CIV_3
