,dv,heat,year,region,country,rain,region_id
31,26.45,0.0,2004,1,CMR,-0.0988326293767794,CMR_1
32,25.86,0.0,2004,2,CMR,-0.243127686367903,CMR_2
34,21.02,0.0,2004,4,CMR,-0.150750490135627,CMR_4
35,28.54,0.0,2004,5,CMR,-0.130367051796915,CMR_5
36,34.56,0.0,2004,6,CMR,-0.500566697442122,CMR_6
37,26.09,0.0,2004,7,CMR,-0.178170312631201,CMR_7
39,27.85,0.0,2011,1,CMR,-0.173236455827094,CMR_1
40,26.68,0.0833333333333333,2011,2,CMR,-0.125935523252727,CMR_2
42,16.15,0.0833333333333333,2011,4,CMR,-0.0857648542196261,CMR_4
43,26.48,0.0833333333333333,2011,5,CMR,-0.116653651294579,CMR_5
44,33.49,0.0833333333333333,2011,6,CMR,-0.0473208061230853,CMR_6
45,27.77,0.0,2011,7,CMR,-0.0954790047481588,CMR_7
47,12.43,0.25,2018,1,CMR,-0.4612796133237,CMR_1
48,16.65,0.0,2018,2,CMR,0.0154778685321565,CMR_2
49,14.15,0.0,2018,4,CMR,-0.584462374854965,CMR_4
50,16.15,0.0,2018,5,CMR,-0.385077259191439,CMR_5
51,19.52,0.0833333333333333,2018,6,CMR,-0.0250761699574194,CMR_6
52,15.96,0.25,2018,7,CMR,-0.61866927738766,CMR_7
75,22.98,0.0,2000,1,COL,0.869957222138255,COL_1
76,27.9,0.0,2000,2,COL,0.5828466451274,COL_2
77,24.77,0.0,2000,3,COL,0.78737533708336,COL_3
78,31.37,0.0,2000,4,COL,0.742595840629737,COL_4
79,26.51,0.0,2000,5,COL,0.59845600581198,COL_5
80,21.76,0.0,2005,1,COL,0.797613735309354,COL_1
81,28.29,0.0,2005,2,COL,0.487103189727029,COL_2
82,24.89,0.0,2005,3,COL,-0.0538889947345033,COL_3
83,25.01,0.0,2005,4,COL,-0.234031835699693,COL_4
84,30.26,0.0,2005,5,COL,0.0232638269078729,COL_5
85,29.63,0.0,2005,6,COL,0.483373597490885,COL_6
86,22.69,0.583333333333333,2010,1,COL,-0.302462814206977,COL_1
87,29.22,0.25,2010,2,COL,-0.366761013701876,COL_2
88,27.0,0.416666666666667,2010,3,COL,-0.131149167721042,COL_3
89,29.47,0.416666666666667,2010,4,COL,0.0109376952403863,COL_4
90,27.22,0.25,2010,5,COL,0.133293725615622,COL_5
91,30.72,0.666666666666667,2010,6,COL,-0.363508812914906,COL_6
92,20.39,0.25,2015,1,COL,-0.591560085450909,COL_1
93,23.03,0.5,2015,2,COL,-0.58866044120443,COL_2
94,20.39,0.416666666666667,2015,3,COL,-0.583342192488002,COL_3
95,24.84,0.25,2015,4,COL,-0.424166206190748,COL_4
96,22.59,0.25,2015,5,COL,-0.356643306753633,COL_5
97,25.74,0.416666666666667,2015,6,COL,-0.15370383098315,COL_6
129,11.95,0.0,2000,1,HTI,-0.430209677381767,HTI_1
130,9.01,0.0,2000,2,HTI,-0.426866202935621,HTI_2
131,8.54,0.0,2000,3,HTI,-0.750025010069638,HTI_3
132,9.52,0.0,2000,4,HTI,-0.638551951536131,HTI_4
133,16.48,0.0,2000,5,HTI,-0.947991369505242,HTI_5
134,13.79,0.0,2000,6,HTI,-0.3601100432413,HTI_6
135,8.16,0.0,2000,7,HTI,-0.62913348919874,HTI_7
136,14.0,0.0,2000,8,HTI,-0.617033251124402,HTI_8
137,7.24,0.0,2000,9,HTI,-1.2531579754787,HTI_9
138,11.66,0.0,2006,1,HTI,0.422969924933471,HTI_1
139,7.49,0.0,2006,2,HTI,0.393506570867229,HTI_2
140,11.35,0.0,2006,3,HTI,0.548550762802129,HTI_3
141,11.47,0.0,2006,4,HTI,0.59699230966462,HTI_4
142,19.68,0.0,2006,5,HTI,0.540869603123371,HTI_5
143,9.27,0.0,2006,6,HTI,0.301387310325295,HTI_6
144,9.32,0.0833333333333333,2006,7,HTI,0.395323217602686,HTI_7
145,11.61,0.0833333333333333,2006,8,HTI,0.399131844616536,HTI_8
146,8.0,0.0,2006,9,HTI,0.553797609057112,HTI_9
147,11.19,0.0,2012,1,HTI,0.0279434407234857,HTI_1
148,7.48,0.0,2012,2,HTI,0.150970820299184,HTI_2
149,8.0,0.0,2012,3,HTI,0.0477462553115363,HTI_3
150,8.8,0.0,2012,4,HTI,0.0270292410738764,HTI_4
151,11.93,0.0,2012,5,HTI,0.119464273147645,HTI_5
152,11.96,0.0,2012,6,HTI,0.0617796677363614,HTI_6
153,7.49,0.0,2012,7,HTI,0.216393652542764,HTI_7
154,9.6,0.0,2012,8,HTI,0.156420559952607,HTI_8
155,8.1,0.0,2012,9,HTI,0.0790123435856361,HTI_9
156,12.29,0.333333333333333,2016,1,HTI,0.60025085389307,HTI_1
157,6.86,0.166666666666667,2016,2,HTI,0.389211316141514,HTI_2
158,10.86,0.25,2016,3,HTI,0.646077987875894,HTI_3
159,10.08,0.25,2016,4,HTI,0.641801272870457,HTI_4
160,10.03,0.333333333333333,2016,5,HTI,0.628580085034716,HTI_5
161,9.12,0.333333333333333,2016,6,HTI,0.680498121565617,HTI_6
162,8.3,0.166666666666667,2016,7,HTI,0.157850887416507,HTI_7
163,8.42,0.166666666666667,2016,8,HTI,0.142252067622239,HTI_8
164,8.76,0.25,2016,9,HTI,0.303649933362416,HTI_9
